"id";"bidding_table_titles_list";"bidding_table_items_list"
1;"网页链接|项目编号|标的序号|标的名称|分包名称|估算金额(万元)|最高限价( 万元)|分包序号|最大中标包数|工期|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200279686.jhtml|0002200000076772|1|云终端安全防护设备|云终端安全防护设备|30|30|1|/|/|本项目不收取|本项目不收取|"
2;"网页链接|项目编号|标段号|预计采购金额（万元）|最大中标数量|标段名称|标书费（元）|投标保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200281227.jhtml|0002200000078476|1|310.82|本次框架招标分为2 个标段，每个投标单位只能中 1 个标段。|韶关城区、曲江、翁源、新丰、乳源供电局|/|10000|"
3;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价( 万元)|工期|项目建设单位|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200279763.jhtml|0002200000076864|1|红河蒙自供电局2021年0.4kV线路设备运维委托|1|红河蒙自供电局2021年0.4kV线路设备运维委托|468.16|自合同签订之日起1年|云南电网有限责任公司红河供电局|46000|无"
4;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额(万元)|最高限价( 万元)|服务周期|项目建设单位|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200279841.jhtml|0002200000076365|1|标3.云南电网有限责任公司昭通供电局2020-2021年基建项目社会稳定风险风险评估及用地现状调查报告编审委托服务框架协议采购|01|包1.云南电网有限责任公司昭通供电局2020-2021年基建项目社会稳定风险风险评估及用地现状调查报告编审委托服务|160|社会稳定风险评估报告：80000元/批次；土地现状调查报告：30000元/批次|自合同签订之日起至取得省自然资源厅用地批复止|昭通供电局|不收取|16000|单价报价，社会稳定风险评估报告：80000元/批次；土地现状调查报告：30000元/批次"
5;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额|最高投标费率（％）|招标文件收取费用（元）|保证金（万元）|备注";"https://www.bidding.csg.cn//zbgg/1200279933.jhtml|0002200000077133|1|变电管理一所、变电管理二所、汕头濠江供电局、汕头潮阳供电局、汕头南澳供电局定制班车租赁项目|1|变电管理一所、变电管理二所、汕头濠江供电局、汕头潮阳供电局、汕头南澳供电局定制班车租赁项目|373.28|100|不收取|不收取|"
6;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280015.jhtml|0002200000077708|1|一体化企业级应用系统协同建设项目（信息集成平台、|1|一体化企业级应用系统协同建设项目（信息集成平台、|150|180|南方电网数字电网研究院有限公司|不收取|不收取|解决电子化移交、账卡物一致、故障停电等协同场景中存在的问题，完成问题原因定位及解决方案制定，开展站线变户一致性、发布业扩工单电子化移交、回退跨系统流程工单、账卡物一致回退等集成服务升级改造、联调测试及上线，并沉淀到研发平台。"
7;"网页链接|项目编号|序号|标段号|标段名称|最大中标数量|计划总投资（万元）|暂定最高限价（万元）|标书费（元）|投标保证金（元）";"https://www.bidding.csg.cn//zbgg/1200280074.jhtml|0002200000077446|一|1|阳江阳东供电局2021年中低压配电网预安排项目施工|本项目分为3个标段，每个投标单位原则上最多只能中1 个标段|3683|1104.90 |/|50000"
8;"网页链接|项目编号|序号|标的|概算金额（万元）|标段号|标段名称|标段金额（万元）|工期|最高限价(万元)|招标文件收取费用（元）|保证金（元）";"https://www.bidding.csg.cn//zbgg/1200280111.jhtml|0002200000077054|1|标的1：2021年广州供电局变电站建筑物渗漏维修框架|624|1|2021年广州供电局变电站建筑物渗漏维修|624|自合同生效之日起至2021年12月31日|/|不收取|不收取"
9;"网页链接|项目编号|序号|标的名称|标段编号|标段名称|估算金额|最高限价|项目建设单位|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280142.jhtml|0002200000077581|1|深圳供电局有限公司21—2022年安保技防器材及技防系统设计招标项目|1|深圳供电局有限公司21—2022年安保技防器材及技防系统设计招标项目|100|包干率不高于|深圳供电局有限公司|不收取|不收取|"
10;"网页链接|项目编号|标的序号|标的名称|分包名称|最高限价|分包序号|最大中标包数|中标比例|工期|招标文件收取费用（元）|保证金|备注";"https://www.bidding.csg.cn//zbgg/1200280154.jhtml|0002200000076741|1|标|包|/|7-1|1|55%|/|不收取|40000|"
11;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|中标比例|估算金额(万元)|综合单价最高限价|招标文件费|投标保证金";"https://www.bidding.csg.cn//zbgg/1200280272.jhtml|0002200000078306|1|2021年江门供电局信息类大修项目框架招标|1|2021年江门供电局信息类大修项目框架招标|100%|257.5551|详见招标文件|不收取|不收取"
12;"网页链接|项目编号|标的名称|标段|标段名称|最大中标数量|项目预算价（万元）|最高限价（万元）|标书费（元）|投标保证金（元）";"https://www.bidding.csg.cn//zbgg/1200280307.jhtml|0002200000078471|佛山220千伏沥沙站扩建第三台主变工程（不含通信部分）等4项工程施工|1|佛山220千伏沥沙站扩建第三台主变工程（不含通信部分）等2项工程施工|本次招标分为2个标的，合计4个标段；标的之内每个投标单位原则上最多只能中1 个标段；标的之间投标单位可兼中。|详见附件|603.08|/|50000"
13;"网页链接|项目编号|序号|标的|概算金额（万元）|最大中标数量|标包号|标包名称|中标比例|标包金额（万元）|工期|最高限价|招标文件费用（元）|投标保证金（元）|备注";"https://www.bidding.csg.cn//zbgg/1200280317.jhtml|0002200000076993|1|广州供电局|587.5|1|1|广州供电局|100%|587.5|合同签订之日起至|587.5|/|100000|/"
14;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|估算金额(万元)|最高限价( 万元)|服务期|项目建设单位|招标文件收取费用（元）|保证金(元)|备注";"https://www.bidding.csg.cn//zbgg/1200280435.jhtml|0002200000078121|1|物业服务|1-1|广西电网公司本部2021—2022年物业管理服务项目|6812|/|从2021年7月1日至2023年6月30日止|综合服务中心|/|10000|"
15;"网页链接|项目编号|序号|标的名称|标包序号|标包名称|最高限价|工期|招标文件收取费用（元）|投标保证金";"https://www.bidding.csg.cn//zbgg/1200280467.jhtml|0002200000078501|1|生产域综合管理等功能数据迁移及组件研发|1|生产域综合管理等功能数据迁移及组件研发|241.71|合同签订日起|不收取"
